filepath,bits,result
a2net,-2023-11-22,'96.7/21.1' '94.4/16.6' '95.9/13.3' '38.4/36.1' '36.2/34.1' '27.6/27.6'
adsh,-2023-11-20,'98.5/34.2' '97.9/31.8' '97.3/19.6' '36.3/33.8' '39.4/37.8' '37.9/36.7'
csq,-2023-11-20,'93.0/92.6' '93.0/92.4' '93.3/92.5' '32.6/17.1' '36.1/21.3' '37.4/24.7'
dsh,-2023-11-21,'80.7/81.5' '86.7/86.0' '86.1/85.4' '36.7/8.9' '34.1/13.1' '33.8/14.3'
exchnet,-2023-11-21,'97.1/26.0' '97.7/21.6' '96.6/19.0' '36.8/33.3' '37.5/36.3' '36.8/34.5'
hashnet,-2023-11-21,'90.0/89.2' '93.7/93.0' '94.6/94.1' '38.9/17.9' '44.3/32.8' '52.0/44.1'
hyp2,-2023-11-22,'89.3/88.8' '91.1/90.0' '90.6/88.8' '37.1/19.5' '36.3/23.3' '38.0/20.6'
ortho,-2023-11-20,'93.0/92.0' '93.7/92.9' '94.1/93.4' '40.3/26.9' '47.1/38.1' '48.3/40.1'
psldh,-2023-11-21,'93.4/92.3' '93.2/92.1' '92.9/91.6' '34.3/19.8' '39.9/27.9' '42.5/31.2'
semicon,-2023-11-22,'97.2/23.6' '96.8/38.5' '95.8/34.3' '35.4/32.6' '35.5/33.6' '35.7/33.2'
